Location Code,Region Code,Bldg Address1,Bldg Address2,Bldg City,Bldg County,Bldg State,Bldg Zip,Congressional District,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag 
CT0013,"1","135 HIGH ST"," ","HARTFORD","HARTFORD",CT,061031125,1,ACTIVE,BUILDING,97884,29,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0024,"1","141 CHURCH ST","U.S. COURTHOUSE","NEW HAVEN","NEW HAVEN",CT,065102001,3,ACTIVE,BUILDING,69037,0,OWNED,01-Jan-1919,Field Not In Use,National Register Listed,Will Conform
CT0047,"1","135 GRAND ST"," ","WATERBURY","NEW HAVEN",CT,067029998,5,ACTIVE,BUILDING,7442,2,LEASED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0049,"1","919 MAIN STREET"," ","WILLIMANTIC","WINDHAM",CT,062269998,2,ACTIVE,BUILDING,198,0,LEASED,01-Jan-1911,Field Not In Use,Not Evaluated,Will Conform
CT0053,"1","450 MAIN ST"," ","HARTFORD","HARTFORD",CT,061033022,1,ACTIVE,BUILDING,203489,103,OWNED,01-Jan-1963,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,"1","915 LAFAYETTE BLVD"," ","BRIDGEPORT","FAIRFIELD",CT,066044706,4,ACTIVE,BUILDING,86870,131,OWNED,01-Jan-1967,Field Not In Use,Not Evaluated,Will Conform
CT0060,"1","LITCHFIELD ST"," ","TORRINGTON","LITCHFIELD",CT,067906407,5,ACTIVE,BUILDING,5052,5,OWNED,01-Jan-1969,Field Not In Use,Not Evaluated,Will Conform
CT0061,"1","150 COURT ST"," ","NEW HAVEN","NEW HAVEN",CT,065102022,3,ACTIVE,BUILDING,83741,74,OWNED,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
CT3316,"1","130 DARLIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083234,1,ACTIVE,BUILDING,34889,159,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3319,"1","101 BROAD ST"," ","STAMFORD","FAIRFIELD",CT,069012797,4,ACTIVE,BUILDING,5020,8,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3322,"1","425 MAIN STREET"," ","MIDDLETOWN","MIDDLESEX",CT,064573347,3,ACTIVE,BUILDING,5045,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3323,"1","333 E RIVER DR"," ","EAST HARTFORD","HARTFORD",CT,061084200,1,ACTIVE,BUILDING,16418,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3326,"1","55 WHITNEY AVE"," ","NEW HAVEN","NEW HAVEN",CT,065101300,3,ACTIVE,BUILDING,3293,5,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3331,"1","157 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065102100,3,ACTIVE,BUILDING,96834,43,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3339,"1","3885 MAIN STREET"," ","BRIDGEPORT","FAIRFIELD",CT,066062814,4,ACTIVE,BUILDING,8230,15,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3341,"1","265 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065107013,3,ACTIVE,BUILDING,16070,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3351,"1","628 HEBRON AVE","BUILDING 2","GLASTONBURY","HARTFORD",CT,060335007,1,ACTIVE,BUILDING,7000,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3354,"1","530 PRESTON AVENUE"," ","MERIDEN","NEW HAVEN",CT,064504893,5,ACTIVE,BUILDING,11727,39,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3358,"1","2 SHAW'S COVE"," ","NEW LONDON","NEW LONDON",CT,063204975,2,ACTIVE,BUILDING,10106,28,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3360,"1","1000 LAFAYETTE BLVD","10TH FLOOR","BRIDGEPORT","FAIRFIELD",CT,066044725,4,ACTIVE,BUILDING,31055,100,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3362,"1","213 COURT ST"," ","MIDDLETOWN","MIDDLESEX",CT,064573346,3,ACTIVE,BUILDING,1950,11,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3363,"1","904 POQUONNOCK RD"," ","GROTON","NEW LONDON",CT,063404259,2,ACTIVE,BUILDING,1507,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3369,"1","20 CHURCH ST"," ","HARTFORD","HARTFORD",CT,061033290,1,ACTIVE,BUILDING,21432,9,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3373,"1","101 PITKIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083316,1,ACTIVE,BUILDING,12906,28,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3375,"1","600 STATE STREET"," ","NEW HAVEN","NEW HAVEN",CT,065116505,3,ACTIVE,BUILDING,78826,220,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3376,"1","131 WEST ST"," ","DANBURY","FAIRFIELD",CT,068106376,5,ACTIVE,BUILDING,8439,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3387,"1","1 WEST MAIN STREET"," ","MERIDEN","NEW HAVEN",CT,064514128,5,ACTIVE,BUILDING,6370,12,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3389,"1","344 MERROW RD"," ","TOLLAND","TOLLAND",CT,060843917,2,ACTIVE,BUILDING,13995,52,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3393,"1","10 COLUMBUS BLVD"," ","HARTFORD","HARTFORD",CT,061061976,1,ACTIVE,BUILDING,5198,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3395,"1","334 ELLA GRASSO TURNPIKE"," ","WINDSOR LOCKS","HARTFORD",CT,060961042,1,ACTIVE,BUILDING,11825,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3398,"1","1320 MAIN ST"," ","WILLIMANTIC","WINDHAM",CT,062261940,2,ACTIVE,BUILDING,6065,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3400,"1","5 SHAWS CV","Suite 206","NEW LONDON","NEW LONDON",CT,063204974,2,ACTIVE,BUILDING,1137,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3402,"1","1 CHELSEA ST"," ","NEW LONDON","NEW LONDON",CT,063205506,2,ACTIVE,BUILDING,47200,164,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3403,"1","960 MAIN ST"," ","HARTFORD","HARTFORD",CT,061031224,1,ACTIVE,BUILDING,22050,10,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3408,"1","6 ARMSTRONG RD"," ","SHELTON","FAIRFIELD",CT,064844722,4,ACTIVE,BUILDING,14392,62,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3409,"1","TWEED AIRPORT"," ","NEW HAVEN","NEW HAVEN",CT,065123907,3,ACTIVE,BUILDING,459,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3410,"1","36 BUFF CAP ROAD"," ","TOLLAND","TOLLAND",CT,060842604,2,ACTIVE,BUILDING,1004,3,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3412,"1","21 OAK ST"," ","HARTFORD","HARTFORD",CT,061068003,1,ACTIVE,BUILDING,5303,17,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,Yes
CT3413,"1","15 MARNE STREET"," ","HAMDEN","NEW HAVEN",CT,065143610,3,ACTIVE,BUILDING,27394,15,LEASED,01-Apr-2009,Field Not In Use,Not Evaluated,Yes
CT3414,"1","2 UNION PLAZA"," ","NEW LONDON","NEW LONDON",CT,063206313,2,ACTIVE,BUILDING,6266,6,LEASED,01-Feb-2008,Field Not In Use,Not Evaluated,Yes
CT3416,"1","716 BROOK STREET"," ","ROCKY HILL","HARTFORD",CT,060673433,1,ACTIVE,BUILDING,13705,32,LEASED,01-Oct-2009,Field Not In Use,Not Evaluated,Yes
CT3418,"1","55 CHURCH STREET"," ","NEW HAVEN","NEW HAVEN",CT,065103014,3,ACTIVE,BUILDING,11162,28,LEASED,01-Sep-2009,Field Not In Use,Not Evaluated,Yes
CT3420,"1","233 MAIN STREET"," ","NEW BRITAIN","HARTFORD",CT,060514204,5,ACTIVE,BUILDING,8177,24,LEASED,13-Jun-2008,Field Not In Use,Not Evaluated,Yes
CT3421,"1","888 WASHINGTON STREET"," ","STAMFORD","FAIRFIELD",CT,069012902,4,ACTIVE,BUILDING,1380,6,LEASED,19-Mar-2009,Field Not In Use,Not Evaluated,Yes
CT3425,"1","474-484 BURNSIDE AVENUE"," ","EAST HARTFORD","HARTFORD",CT,060742406,1,ACTIVE,BUILDING,6314,1,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,No
CT3429,"1","475 MAIN ST"," ","ANSONIA","NEW HAVEN",CT,064012307,3,ACTIVE,BUILDING,4048,19,LEASED,01-Jul-2000,Field Not In Use,Not Evaluated,Yes
CT3433,"1","97 BARNES RD"," ","WALLINGFORD","NEW HAVEN",CT,064921885,3,ACTIVE,BUILDING,4217,31,LEASED,01-May-1985,Field Not In Use,Not Evaluated,Will Conform
CT3435,"1","291 S LAMBERT RD"," ","ORANGE","NEW HAVEN",CT,064773559,3,ACTIVE,BUILDING,3961,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3437,"1","43 CAPITAL DR"," ","WALLINGFORD","NEW HAVEN",CT,064925818,3,ACTIVE,BUILDING,3850,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3438,"1","761 MAIN AVE"," ","NORWALK","FAIRFIELD",CT,068511080,4,ACTIVE,BUILDING,18405,6,LEASED,09-Jun-2010,Field Not In Use,Not Evaluated,Yes
CT3440,"1","107 MILL PLAIN RD"," ","DANBURY","FAIRFIELD",CT,068116100,5,ACTIVE,BUILDING,432,1,LEASED,01-May-1980,Field Not In Use,Not Evaluated,Yes
CT3441,"1","51 N ELM ST"," ","WATERBURY","NEW HAVEN",CT,067021511,5,ACTIVE,BUILDING,8648,36,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3444,"1","280 TRUMBULL ST"," ","HARTFORD","HARTFORD",CT,061033509,1,ACTIVE,BUILDING,4655,2,LEASED,0,Field Not In Use,Evaluated - Not Historic,Yes
CT3446,"1","850 CANAL ST"," ","STAMFORD","FAIRFIELD",CT,069026943,4,ACTIVE,BUILDING,16682,38,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3448,"1","15 THAMES ST"," ","GROTON","NEW LONDON",CT,063403629,2,ACTIVE,BUILDING,2237,10,LEASED,0,None,Not Evaluated,Yes
CT3451,"1","55 MAIN ST"," ","NORWICH","NEW LONDON",CT,063605703,2,ACTIVE,BUILDING,5375,14,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3452,"1","111 EAST AVE"," ","NORWALK","FAIRFIELD",CT,068515014,4,ACTIVE,BUILDING,850,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3453,"1","Bradley Field"," ","WINDSOR LOCKS","HARTFORD",CT,06096,1,ACTIVE,BUILDING,6322,0,LEASED,0,None,Not Evaluated,Yes
MA0011,"1","408 ATLANTIC AV"," ","BOSTON","SUFFOLK",MA,021103349,8,ACTIVE,BUILDING,92762,3,OWNED,01-Jan-1918,Field Not In Use,Evaluated - Not Historic,Yes
MA0013,"1","5 POST OFFICE SQUARE"," ","BOSTON","SUFFOLK",MA,021093901,8,ACTIVE,BUILDING,401504,32,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
MA0050,"1","1 COURTHOUSE WAY","BOSTON","BOSTON","SUFFOLK",MA,022103002,8,ACTIVE,BUILDING,562620,69,OWNED,01-Sep-1998,Field Not In Use,Not Evaluated,Will Conform
MA0051,"1","300 STATE ST"," ","SPRINGFIELD","HAMPDEN",MA,011051686,1,ACTIVE,BUILDING,83109,86,OWNED,01-Aug-2008,Field Not In Use,Not Evaluated,Will Conform
MA0076,"1","37 NORTH SECOND STREET"," ","NEW BEDFORD","BRISTOL",MA,027406329,9,ACTIVE,BUILDING,3654,6,OWNED,01-Jan-1836,Field Not In Use,National Historic Landmark,Will Conform
MA0113,"1","595 MAIN ST"," ","WORCESTER","WORCESTER",MA,016082093,2,ACTIVE,BUILDING,62795,4,OWNED,01-Jan-1932,Field Not In Use,National Register Listed,Will Conform
MA0129,"1","881 MAIN STREET"," ","FITCHBURG","WORCESTER",MA,014203007,3,ACTIVE,BUILDING,58847,201,OWNED,01-Jan-1973,Field Not In Use,Not Evaluated,Will Conform
MA0131,"1","15 NEW SUDBURY STREET"," ","BOSTON","SUFFOLK",MA,022030002,8,ACTIVE,BUILDING,620063,257,OWNED,01-Jan-1966,Field Not In Use,National Register Eligible,Yes
MA0135,"1","400 NORTH MAIN STREET"," ","FALL RIVER","BRISTOL",MA,027202131,4,ACTIVE,BUILDING,6984,50,OWNED,01-Jan-1969,Field Not In Use,Not Evaluated,Will Conform
MA0136,"1","380 TRAPELO RD","FED CTR","WALTHAM","MIDDLESEX",MA,024526322,5,ACTIVE,BUILDING,129115,0,OWNED,01-Jan-1966,Field Not In Use,Not Evaluated,Yes
MA0137,"1","1 LOWELL ST"," ","ANDOVER","ESSEX",MA,018102927,3,ACTIVE,BUILDING,323741,1688,OWNED,01-Jan-1966,Field Not In Use,Not Evaluated,Will Conform
MA0138,"1","MAIN & FOUNTAIN STREETS"," ","HAVERHILL","ESSEX",MA,018304053,3,ACTIVE,BUILDING,5080,20,OWNED,01-Jan-1973,Field Not In Use,Not Evaluated,Yes
MA0153,"1","10 CAUSEWAY ST"," ","BOSTON","SUFFOLK",MA,022221048,8,ACTIVE,BUILDING,521935,267,OWNED,30-Jun-1986,Field Not In Use,Not Evaluated,Yes
MA0158,"1","53 NORTH SIXTH STREET"," ","NEW BEDFORD","BRISTOL",MA,027406110,9,ACTIVE,BUILDING,24031,51,OWNED,01-Jan-1974,Field Not In Use,Not Evaluated,Will Conform
MA0180,"1","78 CENTER ST"," ","PITTSFIELD","BERKSHIRE",MA,012016171,1,ACTIVE,BUILDING,17833,62,OWNED,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
MA0801,"1","424 TRAPELO RD"," ","WALTHAM","MIDDLESEX",MA,024526322,5,ACTIVE,BUILDING,0,0,OWNED,01-Jan-1946,Field Not In Use,Not Evaluated,Will Conform
MA5386,"1","34 MARKET ST"," ","EVERETT","MIDDLESEX",MA,021495806,7,ACTIVE,BUILDING,2624,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5431,"1","140 UNION ST"," ","LYNN","ESSEX",MA,019011336,6,ACTIVE,BUILDING,9857,30,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5466,"1","12 New England Executive Park"," ","BURLINGTON","MIDDLESEX",MA,018035213,6,ACTIVE,BUILDING,81056,400,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5490,"1","198 COLUMBIA ROAD"," ","HANOVER","PLYMOUTH",MA,023392322,9,ACTIVE,BUILDING,7910,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5612,"1","463 WEST ST"," ","AMHERST","HAMPSHIRE",MA,010022946,2,ACTIVE,BUILDING,2664,21,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5632,"1","ONE MONTVALE AVENUE"," ","STONEHAM","MIDDLESEX",MA,021803559,5,ACTIVE,BUILDING,66160,242,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5633,"1","100 CONCORD ST"," ","FRAMINGHAM","MIDDLESEX",MA,017028328,5,ACTIVE,BUILDING,7063,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5645,"1","11 WOODS HOLE ROAD"," ","FALMOUTH","BARNSTABLE",MA,025409998,9,ACTIVE,BUILDING,16339,10,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5646,"1","270 COMMUNICATION WAY"," ","HYANNIS","BARNSTABLE",MA,026011883,9,ACTIVE,BUILDING,900,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5649,"1","639 GRANITE STREET"," ","BRAINTREE","NORFOLK",MA,021845366,8,ACTIVE,BUILDING,4358,6,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5650,"1","13 BRANCH STREET"," ","METHUEN","ESSEX",MA,018441900,3,ACTIVE,BUILDING,6481,0,LEASED,01-Oct-2010,Field Not In Use,Not Evaluated,Yes
MA5654,"1","1 CONGRESS ST"," ","BOSTON","SUFFOLK",MA,021142010,8,ACTIVE,STRUCTURE,0,352,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5655,"1","147 WASHINGTON ST","Unit #B","FAIRHAVEN","BRISTOL",MA,027194013,9,ACTIVE,BUILDING,1145,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5663,"1","15 NEW CHARDON ST"," ","BOSTON","SUFFOLK",MA,021144711,8,ACTIVE,BUILDING,38374,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5671,"1","10 MALCOLM X BOULEVARD","AKA 80 DUDLEY STREET","BOSTON","SUFFOLK",MA,021191775,7,ACTIVE,BUILDING,9242,23,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5672,"1","973 IYANNOUGH ROAD"," ","HYANNIS","BARNSTABLE",MA,026011869,9,ACTIVE,BUILDING,1248,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5673,"1","20 INDUSTRIAL BOULEVARD"," ","HYANNIS","BARNSTABLE",MA,026013112,9,ACTIVE,BUILDING,4600,43,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5675,"1","850 PLEASANT STREET"," ","NEW BEDFORD","BRISTOL",MA,027406664,9,ACTIVE,BUILDING,13202,26,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5676,"1","259B NORTH STREET"," ","HYANNIS","BARNSTABLE",MA,026013834,9,ACTIVE,BUILDING,6000,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5678,"1","BUILDING 101","ONE FEDERAL STREET","SPRINGFIELD","HAMPDEN",MA,011051199,1,ACTIVE,BUILDING,742,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5679,"1","900 CHELMSFORD ST","TOWER 1","LOWELL","MIDDLESEX",MA,018518100,3,ACTIVE,BUILDING,22500,175,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5681,"1","446 MAIN ST"," ","WORCESTER","WORCESTER",MA,016082359,2,ACTIVE,BUILDING,15215,30,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5682,"1","88 BLACK FALCON AVE"," ","BOSTON","SUFFOLK",MA,022102425,8,ACTIVE,BUILDING,6841,39,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5683,"1","70 EVERETT AVE"," ","CHELSEA","SUFFOLK",MA,021502376,7,ACTIVE,BUILDING,2125,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5771,"1","300 WESTGATE CENTER DRI"," ","HADLEY","HAMPSHIRE",MA,010359587,2,ACTIVE,BUILDING,62800,285,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5775,"1","156 WORC. PROV. TPK."," ","SUTTON","WORCESTER",MA,015902984,2,ACTIVE,BUILDING,2870,16,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5780,"1","1 CENTER PLAZA"," ","BOSTON","SUFFOLK",MA,021081887,8,ACTIVE,BUILDING,98878,130,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5785,"1","120 FRONT ST"," ","WORCESTER","WORCESTER",MA,016081413,2,ACTIVE,BUILDING,23366,27,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5786,"1","99 SUMMER STREET"," ","BOSTON","SUFFOLK",MA,021101213,7,ACTIVE,BUILDING,3120,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5790,"1","439 S UNION ST"," ","LAWRENCE","ESSEX",MA,018432810,3,ACTIVE,BUILDING,24123,116,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5793,"1","1441 MAIN ST","10TH FLOOR","SPRINGFIELD","HAMPDEN",MA,011031406,1,ACTIVE,BUILDING,31897,52,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5794,"1","CONTE DR"," ","PITTSFIELD","BERKSHIRE",MA,012018298,1,ACTIVE,BUILDING,133443,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5809,"1","90 MADISON ST"," ","WORCESTER","WORCESTER",MA,016082058,2,ACTIVE,BUILDING,19996,16,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5813,"1","900 CHELMSFORD ST"," ","LOWELL","MIDDLESEX",MA,018518100,3,ACTIVE,BUILDING,39586,362,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5817,"1","110 HARTWELL AVE"," ","LEXINGTON","MIDDLESEX",MA,024213118,5,ACTIVE,BUILDING,5775,26,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5819,"1","1 BATTERY MARCH PARK"," ","QUINCY","NORFOLK",MA,021697448,8,ACTIVE,BUILDING,2600,4,LEASED,0,Field Not In Use,Not Evaluated,No
MA5822,"1","499 ESSEX STREET"," ","LAWRENCE","ESSEX",MA,018401269,3,ACTIVE,BUILDING,3310,10,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5826,"1","104 DEAN STREET"," ","TAUNTON","BRISTOL",MA,027802714,4,ACTIVE,BUILDING,11086,39,LEASED,01-Apr-2009,Field Not In Use,Not Evaluated,Will Conform
MA5828,"1","10 GEORGE STREET"," ","LOWELL","MIDDLESEX",MA,018522293,3,ACTIVE,BUILDING,1006,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5829,"1","1441 MAIN ST"," ","SPRINGFIELD","HAMPDEN",MA,011031406,1,ACTIVE,BUILDING,11262,14,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5831,"1","325 CHELMSFORD ST"," ","LOWELL","MIDDLESEX",MA,018514429,3,ACTIVE,BUILDING,3900,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5832,"1","59 LOWE'S WAY"," ","LOWELL","MIDDLESEX",MA,018515019,3,ACTIVE,BUILDING,23401,80,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5834,"1","696 VIRGINIA RD","CONCORD,MA 01742","CONCORD","MIDDLESEX",MA,017422718,3,ACTIVE,BUILDING,97256,457,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5835,"1","411 WAVERLEY OAKS RD"," ","WALTHAM","MIDDLESEX",MA,024528405,5,ACTIVE,BUILDING,2155,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5837,"1","1250 HANCOCK ST"," ","QUINCY","NORFOLK",MA,021694339,8,ACTIVE,BUILDING,10883,37,LEASED,01-Aug-1985,Field Not In Use,Not Evaluated,Yes
MA5842,"1","10 BEARFOOT ROAD"," ","NORTHBOROUGH","WORCESTER",MA,015321994,2,ACTIVE,BUILDING,20874,89,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5844,"1","221 N BEACON ST"," ","BRIGHTON","SUFFOLK",MA,021351943,7,ACTIVE,BUILDING,7302,17,LEASED,01-Jan-2010,Field Not In Use,Evaluated - Not Historic,Yes
MA5845,"1","106 PLEASANT STREET"," ","ATTLEBORO","BRISTOL",MA,027032359,4,ACTIVE,BUILDING,7285,1,LEASED,01-Jan-1999,Field Not In Use,Not Evaluated,Yes
MA5847,"1","1 PROGRESS WAY"," ","WILMINGTON","MIDDLESEX",MA,018874611,6,ACTIVE,BUILDING,49950,95,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5851,"1","DRUM HILL TECH PARK"," ","CHELMSFORD","MIDDLESEX",MA,018241517,3,ACTIVE,BUILDING,49262,140,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5861,"1","101 CUMMINGS CTR","SUITE 422A","BEVERLY","ESSEX",MA,019156115,6,ACTIVE,BUILDING,1041,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5863,"1","SOUTHBOROUGH OFFICE PARK","118 TURNPIKE ROAD","SOUTHBOROUGH","WORCESTER",MA,017721661,5,ACTIVE,BUILDING,9190,0,LEASED,01-Oct-1985,Field Not In Use,Not Evaluated,Yes
MA5866,"1","151 WARREN STREET"," ","LOWELL","MIDDLESEX",MA,018522647,3,ACTIVE,BUILDING,11128,23,LEASED,01-Dec-1999,Field Not In Use,Not Evaluated,Yes
MA5867,"1","210 HIGH ST","2ND FLOOR","HOLYOKE","HAMPDEN",MA,010406507,1,ACTIVE,BUILDING,16950,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5868,"1","160-180 Second Street"," ","CHELSEA","SUFFOLK",MA,021501803,7,ACTIVE,BUILDING,20385,4,LEASED,01-Aug-2009,Field Not In Use,Not Evaluated,Yes
MA5869,"1","48 RESEARCH RD","FALMOUTH TECH. PARK","EAST FALMOUTH","BARNSTABLE",MA,025364440,9,ACTIVE,BUILDING,4200,1,LEASED,25-May-2001,Field Not In Use,Not Evaluated,Yes
MA5871,"1","480 BARNSTABLE RD"," ","HYANNIS","BARNSTABLE",MA,026012900,9,ACTIVE,BUILDING,1112,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5874,"1","14 AIRPORT ROAD"," ","NANTUCKET","NANTUCKET",MA,025542894,9,ACTIVE,BUILDING,530,1,LEASED,05-May-2008,Field Not In Use,Not Evaluated,Yes
MA5876,"1","1 EDGEWATER DRIVE"," ","NORWOOD","NORFOLK",MA,020624674,8,ACTIVE,BUILDING,5592,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5877,"1","RACE POINT ROAD","P.O. BOX 657","PROVINCETOWN","BARNSTABLE",MA,026570657,9,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5881,"1","99 HIGH ST"," ","BOSTON","SUFFOLK",MA,021102320,8,ACTIVE,BUILDING,63253,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5883,"1","97 COMMERCE WAY","NORTH EAST JET CENTER","NORTH ANDOVER","ESSEX",MA,018451049,6,ACTIVE,BUILDING,2464,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5890,"1","70 BOND STREET"," ","SPRINGFIELD","HAMPDEN",MA,011043402,1,ACTIVE,BUILDING,19000,85,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5891,"1","364 UNIVERSITY AVE"," ","WESTWOOD","NORFOLK",MA,020902311,8,ACTIVE,BUILDING,1718,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5893,"1","115-117 FREEPORT STREET"," ","BOSTON","SUFFOLK",MA,021222829,7,ACTIVE,BUILDING,7196,35,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5895,"1","2 CENTER PLAZA"," ","BOSTON","SUFFOLK",MA,021081909,8,ACTIVE,BUILDING,8800,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5897,"1","222 WEST CUMMINGS PARK"," ","WOBURN","MIDDLESEX",MA,018016346,5,ACTIVE,BUILDING,4500,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5898,"1","11 SERVICE ROAD"," ","BOSTON","SUFFOLK",MA,021282001,7,ACTIVE,BUILDING,21156,30,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5900,"1","10 NEW ENGLAND EXECUTIVE PARK"," ","BURLINGTON","MIDDLESEX",MA,018305214,6,ACTIVE,BUILDING,38386,126,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5902,"1","155 W ELM ST"," ","BROCKTON","PLYMOUTH",MA,023014326,8,ACTIVE,BUILDING,1283,0,LEASED,01-Dec-2007,Field Not In Use,Not Evaluated,Yes
